Nome do participante;

Resposta final;NAO;

Cenario;Local;Tempo (segundos);
0;Casas;5,947878;
0;Floresta;13,94833;
0;Barco;29,28535;
0;Ilha;7,862431;
1;Barco;18,12491;
1;Ilha;8,94503;
1;Floresta;4,06424;
2;Barco;16,49374;
2;Animais Da Praia;16,2663;
2;Floresta;8,674683;
2;Ilha;3,950165;

