Nome do participante;

Resposta final;NAO;

Cenario;Local;Tempo (segundos);
0;Barco;4,798755;
1;Floresta;3,028838;
1;Barco;1,408598;
1;Ilha;2,51008;
2;Barco;0,2891636;
2;Ilha;2,545492;
2;Animais Da Praia;1,904909;

