Nome do participante;

Resposta final;NAO;

Cenario;Local;Tempo (segundos);
0;Barco;4,102881;
0;Floresta;0,06775856;
1;Barco;3,603806;
1;Floresta;2,73724;
1;Ilha;0,761116;
2;Barco;4,056629;
2;Ilha;0,6879311;
2;Floresta;2,749699;

