Nome do participante;

Resposta final;NAO;

Cenario;Local;Tempo (segundos);
0;Barco;6,367104;
0;Floresta;9,049246;
0;Casas;3,048764;
0;Ilha;0,2570372;
1;Barco;10,89989;
1;Ilha;3,237568;
2;Barco;0,7392998;
2;Animais Da Praia;14,22148;

