Nome do participante;

Resposta final;NAO;

Cenario;Local;Tempo (segundos);
0;Ilha;3,306801;
0;Barco;3,644765;
1;Barco;1,89912;
1;Ilha;1,150909;
2;Ilha;2,83392;
2;Barco;1,701385;
2;Floresta;1,008121;
2;Animais Da Praia;0,9035225;

