Nome do participante;

Resposta final;NAO;

Cenario;Local;Tempo (segundos);
0;Floresta;13,29079;
0;Ilha;1,091146;
0;Barco;12,78105;
1;Barco;7,412012;
1;Ilha;1,819654;
1;Floresta;6,788029;
2;Animais Da Praia;15,14386;
2;Barco;1,329578;
2;Ilha;1,190861;

